"id";"code_geo";"town_clean"
"1049253";"93045";"LES LILAS"
"1049386";"25056";"BESANCON"
"1049535";"92032";"FONTENAY-AUX-ROSES"
"1049741";"86066";"CHATELLERAULT"
"1049881";"68161";"KATZENTHAL"
"1049998";"33449";"SAINT-MEDARD-EN-JALLES"
"1050160";"37261";"TOURS"
"1050269";"42218";"SAINT-ETIENNE"
"1050301";"84127";"SERIGNAN-DU-COMTAT"
"1050459";"74258";"SAMOENS"
"1050491";"38140";"CROLLES"
"1050509";"41180";"MONTRICHARD-VAL-DE-CHER"
"1050558";"37020";"BEAULIEU-LES-LOCHES"
"1050582";"31555";"TOULOUSE"
"1050616";"67180";"HAGUENAU"
"1050756";"16015";"ANGOULEME"
"1051002";"68011";"ASPACH-LE-BAS"
"1051200";"13103";"SALON-DE-PROVENCE"
"1051341";"26362";"VALENCE"
"1051390";"86165";"MONTMORILLON"
"1051689";"66136";"PERPIGNAN"
"1051770";"78124";"CARRIERES-SUR-SEINE"
"1051903";"94037";"GENTILLY"
"1052117";"35115";"FOUGERES"
"1052398";"03185";"MONTLUCON"
"1052794";"41052";"CHITENAY"
"1052943";"66149";"PRADES"
"1053073";"34153";"LES MATELLES"
"1053586";"79191";"NIORT"
"1053636";"77495";"VERT-SAINT-DENIS"
"1053677";"74010";"ANNECY"
"1053776";"45335";"VIENNE-EN-VAL"
"1053891";"92004";"ASNIERES-SUR-SEINE"
"1054006";"84031";"CARPENTRAS"
"1054055";"63302";"LA ROCHE-BLANCHE"
"1054139";"88352";"POMPIERRE"
"1054196";"83152";"RAYOL-CANADEL-SUR-MER"
"1054311";"75056";"PARIS"
"1054345";"75056";"PARIS"
"1054634";"19031";"BRIVE-LA-GAILLARDE"
"1054964";"09103";"CRAMPAGNA"
"1055383";"64122";"BIARRITZ"
"1055466";"91272";"GIF-SUR-YVETTE"
"1055722";"21166";"CHENOVE"
"1055888";"69123";"LYON"
"1056076";"69282";"MEYZIEU"
"1056498";"01034";"BELLEY"
"1056506";"45285";"SAINT-JEAN-DE-LA-RUELLE"
"1056555";"56011";"BEGANNE"
"1056563";"69123";"LYON"
"1056613";"82121";"MONTAUBAN"
